Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
12/16/2025,15,29,7,15:29:07,19278,Tahap-0
12/16/2025,15,29,7,15:29:07,2230,Tahap-0
12/16/2025,15,29,7,15:29:07,2383,Tahap-0
12/16/2025,15,29,7,15:29:07,835,Tahap-0
12/16/2025,15,29,7,15:29:07,336,Tahap-0
12/16/2025,15,29,7,15:29:07,727,Tahap-0
12/16/2025,15,29,7,15:29:07,16,Tahap-0
12/16/2025,15,29,7,15:29:07,274,Tahap-0
12/16/2025,15,29,7,15:29:07,320,Tahap-0
12/16/2025,15,29,8,15:29:08,635,Tahap-0
12/16/2025,15,29,8,15:29:08,58,Tahap-0
12/16/2025,15,29,8,15:29:08,433,Tahap-0
12/16/2025,15,29,8,15:29:08,663,Tahap-0
12/16/2025,15,29,8,15:29:08,1162,Tahap-0
12/16/2025,15,29,8,15:29:08,749,Tahap-0
12/16/2025,15,29,8,15:29:08,268,Tahap-0
12/16/2025,15,29,8,15:29:08,231,Tahap-0
12/16/2025,15,29,8,15:29:08,359,Tahap-0
12/16/2025,15,29,8,15:29:08,207,Tahap-0
12/16/2025,15,29,9,15:29:09,42,Tahap-0
12/16/2025,15,29,9,15:29:09,403,Tahap-0
12/16/2025,15,29,9,15:29:09,278,Tahap-0
12/16/2025,15,29,9,15:29:09,532,Tahap-0
12/16/2025,15,29,9,15:29:09,58,Tahap-0
12/16/2025,15,29,9,15:29:09,347,Tahap-0
12/16/2025,15,29,9,15:29:09,208,Tahap-0
12/16/2025,15,29,9,15:29:09,226,Tahap-0
12/16/2025,15,29,9,15:29:09,160,Tahap-0
12/16/2025,15,29,9,15:29:09,210,Tahap-0
12/16/2025,15,29,10,15:29:10,126,Tahap-0
12/16/2025,15,29,10,15:29:10,77,Tahap-0
12/16/2025,15,29,10,15:29:10,58,Tahap-0
12/16/2025,15,29,10,15:29:10,96,Tahap-0
12/16/2025,15,29,10,15:29:10,181,Tahap-0
12/16/2025,15,29,10,15:29:10,258,Tahap-0
12/16/2025,15,29,10,15:29:10,41,Tahap-0
12/16/2025,15,29,10,15:29:10,256,Tahap-0
12/16/2025,15,29,10,15:29:10,281,Tahap-0
12/16/2025,15,29,10,15:29:10,273,Tahap-0
12/16/2025,15,29,10,15:29:10,117,Tahap-0
12/16/2025,15,29,11,15:29:11,1444,Tahap-0
12/16/2025,15,29,11,15:29:11,401,Tahap-0
12/16/2025,15,29,11,15:29:11,398,Tahap-0
12/16/2025,15,29,11,15:29:11,76,Tahap-0
12/16/2025,15,29,11,15:29:11,769,Tahap-0
12/16/2025,15,29,11,15:29:11,123,Tahap-0
12/16/2025,15,29,11,15:29:11,106,Tahap-0
12/16/2025,15,29,11,15:29:11,226,Tahap-0
12/16/2025,15,29,11,15:29:11,199,Tahap-0
