Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
12/15/2025,12,6,9,12:06:09,2489,Tahap-0
12/15/2025,12,6,9,12:06:09,4427,Tahap-0
12/15/2025,12,6,9,12:06:09,1874,Tahap-0
12/15/2025,12,6,9,12:06:09,1478,Tahap-0
12/15/2025,12,6,9,12:06:09,1360,Tahap-0
12/15/2025,12,6,10,12:06:10,619,Tahap-0
12/15/2025,12,6,10,12:06:10,467,Tahap-0
12/15/2025,12,6,10,12:06:10,542,Tahap-0
12/15/2025,12,6,10,12:06:10,474,Tahap-0
12/15/2025,12,6,10,12:06:10,469,Tahap-0
12/15/2025,12,6,10,12:06:10,577,Tahap-0
12/15/2025,12,6,10,12:06:10,416,Tahap-0
12/15/2025,12,6,10,12:06:10,385,Tahap-0
12/15/2025,12,6,10,12:06:10,374,Tahap-0
12/15/2025,12,6,10,12:06:10,208,Tahap-0
12/15/2025,12,6,11,12:06:11,304,Tahap-0
12/15/2025,12,6,11,12:06:11,258,Tahap-0
12/15/2025,12,6,11,12:06:11,269,Tahap-0
12/15/2025,12,6,11,12:06:11,275,Tahap-0
12/15/2025,12,6,11,12:06:11,195,Tahap-0
12/15/2025,12,6,11,12:06:11,84,Tahap-0
12/15/2025,12,6,11,12:06:11,136,Tahap-0
12/15/2025,12,6,11,12:06:11,260,Tahap-0
12/15/2025,12,6,11,12:06:11,425,Tahap-0
12/15/2025,12,6,11,12:06:11,141,Tahap-0
12/15/2025,12,6,11,12:06:11,136,Tahap-0
12/15/2025,12,6,12,12:06:12,310,Tahap-0
12/15/2025,12,6,12,12:06:12,88,Tahap-0
12/15/2025,12,6,12,12:06:12,141,Tahap-0
12/15/2025,12,6,12,12:06:12,134,Tahap-0
12/15/2025,12,6,12,12:06:12,210,Tahap-0
12/15/2025,12,6,12,12:06:12,140,Tahap-0
12/15/2025,12,6,12,12:06:12,133,Tahap-0
12/15/2025,12,6,12,12:06:12,199,Tahap-0
12/15/2025,12,6,12,12:06:12,160,Tahap-0
12/15/2025,12,6,12,12:06:12,140,Tahap-0
12/15/2025,12,6,13,12:06:13,165,Tahap-0
12/15/2025,12,6,13,12:06:13,189,Tahap-0
12/15/2025,12,6,13,12:06:13,154,Tahap-0
12/15/2025,12,6,13,12:06:13,226,Tahap-0
12/15/2025,12,6,13,12:06:13,307,Tahap-0
12/15/2025,12,6,13,12:06:13,649,Tahap-0
12/15/2025,12,6,13,12:06:13,365,Tahap-0
12/15/2025,12,6,13,12:06:13,158,Tahap-0
12/15/2025,12,6,13,12:06:13,101,Tahap-0
12/15/2025,12,6,13,12:06:13,221,Tahap-0
12/15/2025,12,6,14,12:06:14,95,Tahap-0
12/15/2025,12,6,14,12:06:14,129,Tahap-0
12/15/2025,12,6,14,12:06:14,101,Tahap-0
12/15/2025,12,6,14,12:06:14,132,Tahap-0
12/15/2025,12,6,14,12:06:14,59,Tahap-0
12/15/2025,12,6,14,12:06:14,111,Tahap-0
12/15/2025,12,6,14,12:06:14,195,Tahap-0
12/15/2025,12,6,14,12:06:14,86,Tahap-0
12/15/2025,12,6,14,12:06:14,224,Tahap-0
12/15/2025,12,6,14,12:06:14,61,Tahap-0
12/15/2025,12,6,15,12:06:15,59,Tahap-0
12/15/2025,12,6,15,12:06:15,141,Tahap-0
12/15/2025,12,6,15,12:06:15,209,Tahap-0
12/15/2025,12,6,15,12:06:15,161,Tahap-0
12/15/2025,12,6,15,12:06:15,63,Tahap-0
12/15/2025,12,6,15,12:06:15,98,Tahap-0
12/15/2025,12,6,15,12:06:15,286,Tahap-0
12/15/2025,12,6,15,12:06:15,275,Tahap-0
12/15/2025,12,6,15,12:06:15,335,Tahap-0
12/15/2025,12,6,15,12:06:15,202,Tahap-0
12/15/2025,12,6,16,12:06:16,79,Tahap-0
12/15/2025,12,6,16,12:06:16,121,Tahap-0
12/15/2025,12,6,16,12:06:16,112,Tahap-0
12/15/2025,12,6,16,12:06:16,153,Tahap-0
12/15/2025,12,6,16,12:06:16,29,Tahap-0
12/15/2025,12,6,16,12:06:16,151,Tahap-0
12/15/2025,12,6,16,12:06:16,70,Tahap-0
12/15/2025,12,6,16,12:06:16,82,Tahap-0
12/15/2025,12,6,16,12:06:16,42,Tahap-0
12/15/2025,12,6,16,12:06:16,112,Tahap-0
12/15/2025,12,6,17,12:06:17,138,Tahap-0
12/15/2025,12,6,17,12:06:17,29,Tahap-0
12/15/2025,12,6,17,12:06:17,14,Tahap-0
12/15/2025,12,6,17,12:06:17,73,Tahap-0
12/15/2025,12,6,17,12:06:17,110,Tahap-0
12/15/2025,12,6,17,12:06:17,278,Tahap-0
12/15/2025,12,6,17,12:06:17,206,Tahap-0
12/15/2025,12,6,17,12:06:17,846,Tahap-0
12/15/2025,12,6,17,12:06:17,258,Tahap-0
12/15/2025,12,6,17,12:06:17,1185,Tahap-0
12/15/2025,12,6,18,12:06:18,170,Tahap-0
12/15/2025,12,6,18,12:06:18,232,Tahap-0
12/15/2025,12,6,18,12:06:18,192,Tahap-0
12/15/2025,12,6,18,12:06:18,233,Tahap-0
12/15/2025,12,6,18,12:06:18,186,Tahap-0
12/15/2025,12,6,18,12:06:18,386,Tahap-0
12/15/2025,12,6,18,12:06:18,532,Tahap-0
12/15/2025,12,6,18,12:06:18,110,Tahap-0
12/15/2025,12,6,18,12:06:18,245,Tahap-0
12/15/2025,12,6,18,12:06:18,106,Tahap-0
12/15/2025,12,6,19,12:06:19,449,Tahap-0
12/15/2025,12,6,19,12:06:19,250,Tahap-0
12/15/2025,12,6,19,12:06:19,79,Tahap-0
12/15/2025,12,6,19,12:06:19,259,Tahap-0
12/15/2025,12,6,19,12:06:19,303,Tahap-0
12/15/2025,12,6,19,12:06:19,331,Tahap-0
12/15/2025,12,6,19,12:06:19,126,Tahap-0
12/15/2025,12,6,19,12:06:19,385,Tahap-0
12/15/2025,12,6,19,12:06:19,723,Tahap-0
12/15/2025,12,6,19,12:06:19,486,Tahap-0
12/15/2025,12,6,20,12:06:20,542,Tahap-0
12/15/2025,12,6,20,12:06:20,802,Tahap-0
12/15/2025,12,6,20,12:06:20,81,Tahap-0
12/15/2025,12,6,20,12:06:20,509,Tahap-0
12/15/2025,12,6,20,12:06:20,179,Tahap-0
12/15/2025,12,6,20,12:06:20,227,Tahap-0
12/15/2025,12,6,20,12:06:20,326,Tahap-0
12/15/2025,12,6,20,12:06:20,151,Tahap-0
12/15/2025,12,6,20,12:06:20,194,Tahap-0
12/15/2025,12,6,20,12:06:20,137,Tahap-0
12/15/2025,12,6,21,12:06:21,16,Tahap-0
12/15/2025,12,6,21,12:06:21,21,Tahap-0
12/15/2025,12,6,21,12:06:21,203,Tahap-0
12/15/2025,12,6,21,12:06:21,81,Tahap-0
12/15/2025,12,6,21,12:06:21,81,Tahap-0
12/15/2025,12,6,21,12:06:21,135,Tahap-0
12/15/2025,12,6,21,12:06:21,88,Tahap-0
12/15/2025,12,6,21,12:06:21,97,Tahap-0
12/15/2025,12,6,21,12:06:21,54,Tahap-0
12/15/2025,12,6,21,12:06:21,783,Tahap-0
12/15/2025,12,6,22,12:06:22,457,Tahap-0
12/15/2025,12,6,22,12:06:22,-176,Tahap-0
12/15/2025,12,6,22,12:06:22,-56,Tahap-0
12/15/2025,12,6,22,12:06:22,-120,Tahap-0
12/15/2025,12,6,22,12:06:22,-48,Tahap-0
12/15/2025,12,6,22,12:06:22,64,Tahap-0
12/15/2025,12,6,22,12:06:22,-176,Tahap-0
12/15/2025,12,6,22,12:06:22,28,Tahap-0
12/15/2025,12,6,22,12:06:22,-28,Tahap-0
12/15/2025,12,6,22,12:06:22,-100,Tahap-0
12/15/2025,12,6,23,12:06:23,32,Tahap-0
12/15/2025,12,6,23,12:06:23,-48,Tahap-0
12/15/2025,12,6,23,12:06:23,20,Tahap-0
12/15/2025,12,6,23,12:06:23,-68,Tahap-0
12/15/2025,12,6,23,12:06:23,40,Tahap-0
