Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
12/16/2025,15,16,52,15:16:52,13708,Tahap-0
12/16/2025,15,16,52,15:16:52,3679,Tahap-0
12/16/2025,15,16,52,15:16:52,1959,Tahap-0
12/16/2025,15,16,52,15:16:52,841,Tahap-0
12/16/2025,15,16,52,15:16:52,698,Tahap-0
12/16/2025,15,16,52,15:16:52,603,Tahap-0
12/16/2025,15,16,52,15:16:52,710,Tahap-0
12/16/2025,15,16,52,15:16:52,531,Tahap-0
12/16/2025,15,16,52,15:16:52,440,Tahap-0
12/16/2025,15,16,53,15:16:53,418,Tahap-0
12/16/2025,15,16,53,15:16:53,374,Tahap-0
12/16/2025,15,16,53,15:16:53,350,Tahap-0
12/16/2025,15,16,53,15:16:53,363,Tahap-0
12/16/2025,15,16,53,15:16:53,324,Tahap-0
12/16/2025,15,16,53,15:16:53,356,Tahap-0
12/16/2025,15,16,53,15:16:53,310,Tahap-0
12/16/2025,15,16,53,15:16:53,279,Tahap-0
12/16/2025,15,16,53,15:16:53,253,Tahap-0
12/16/2025,15,16,53,15:16:53,337,Tahap-0
12/16/2025,15,16,54,15:16:54,270,Tahap-0
12/16/2025,15,16,54,15:16:54,105,Tahap-0
12/16/2025,15,16,54,15:16:54,282,Tahap-0
12/16/2025,15,16,54,15:16:54,321,Tahap-0
12/16/2025,15,16,54,15:16:54,253,Tahap-0
12/16/2025,15,16,54,15:16:54,251,Tahap-0
12/16/2025,15,16,54,15:16:54,284,Tahap-0
12/16/2025,15,16,54,15:16:54,262,Tahap-0
12/16/2025,15,16,54,15:16:54,273,Tahap-0
12/16/2025,15,16,54,15:16:54,239,Tahap-0
12/16/2025,15,16,55,15:16:55,267,Tahap-0
12/16/2025,15,16,55,15:16:55,284,Tahap-0
12/16/2025,15,16,55,15:16:55,296,Tahap-0
12/16/2025,15,16,55,15:16:55,225,Tahap-0
12/16/2025,15,16,55,15:16:55,211,Tahap-0
12/16/2025,15,16,55,15:16:55,287,Tahap-0
12/16/2025,15,16,55,15:16:55,269,Tahap-0
12/16/2025,15,16,55,15:16:55,150,Tahap-0
12/16/2025,15,16,55,15:16:55,266,Tahap-0
12/16/2025,15,16,55,15:16:55,268,Tahap-0
12/16/2025,15,16,56,15:16:56,145,Tahap-0
12/16/2025,15,16,56,15:16:56,505,Tahap-0
12/16/2025,15,16,56,15:16:56,559,Tahap-0
12/16/2025,15,16,56,15:16:56,238,Tahap-0
12/16/2025,15,16,56,15:16:56,202,Tahap-0
12/16/2025,15,16,56,15:16:56,231,Tahap-0
12/16/2025,15,16,56,15:16:56,237,Tahap-0
12/16/2025,15,16,56,15:16:56,215,Tahap-0
12/16/2025,15,16,56,15:16:56,246,Tahap-0
12/16/2025,15,16,56,15:16:56,231,Tahap-0
12/16/2025,15,16,57,15:16:57,238,Tahap-0
12/16/2025,15,16,57,15:16:57,220,Tahap-0
12/16/2025,15,16,57,15:16:57,226,Tahap-0
12/16/2025,15,16,57,15:16:57,249,Tahap-0
12/16/2025,15,16,57,15:16:57,262,Tahap-0
12/16/2025,15,16,57,15:16:57,253,Tahap-0
12/16/2025,15,16,57,15:16:57,201,Tahap-0
12/16/2025,15,16,57,15:16:57,235,Tahap-0
12/16/2025,15,16,57,15:16:57,248,Tahap-0
12/16/2025,15,16,57,15:16:57,258,Tahap-0
12/16/2025,15,16,57,15:16:57,260,Tahap-0
12/16/2025,15,16,58,15:16:58,190,Tahap-0
12/16/2025,15,16,58,15:16:58,188,Tahap-0
12/16/2025,15,16,58,15:16:58,139,Tahap-0
12/16/2025,15,16,58,15:16:58,237,Tahap-0
12/16/2025,15,16,58,15:16:58,206,Tahap-0
12/16/2025,15,16,58,15:16:58,251,Tahap-0
12/16/2025,15,16,58,15:16:58,241,Tahap-0
12/16/2025,15,16,58,15:16:58,226,Tahap-0
12/16/2025,15,16,58,15:16:58,201,Tahap-0
12/16/2025,15,16,58,15:16:58,221,Tahap-0
12/16/2025,15,16,59,15:16:59,222,Tahap-0
12/16/2025,15,16,59,15:16:59,225,Tahap-0
12/16/2025,15,16,59,15:16:59,221,Tahap-0
12/16/2025,15,16,59,15:16:59,255,Tahap-0
12/16/2025,15,16,59,15:16:59,254,Tahap-0
12/16/2025,15,16,59,15:16:59,231,Tahap-0
12/16/2025,15,16,59,15:16:59,206,Tahap-0
12/16/2025,15,16,59,15:16:59,231,Tahap-0
12/16/2025,15,16,59,15:16:59,219,Tahap-0
12/16/2025,15,16,59,15:16:59,235,Tahap-0
12/16/2025,15,17,1,15:17:01,209,Tahap-0
12/16/2025,15,17,1,15:17:01,193,Tahap-0
12/16/2025,15,17,1,15:17:01,360,Tahap-0
12/16/2025,15,17,1,15:17:01,315,Tahap-0
12/16/2025,15,17,1,15:17:01,164,Tahap-0
12/16/2025,15,17,1,15:17:01,372,Tahap-0
12/16/2025,15,17,1,15:17:01,123,Tahap-0
12/16/2025,15,17,1,15:17:01,159,Tahap-0
12/16/2025,15,17,1,15:17:01,165,Tahap-0
12/16/2025,15,17,1,15:17:01,353,Tahap-0
12/16/2025,15,17,2,15:17:02,357,Tahap-0
12/16/2025,15,17,2,15:17:02,474,Tahap-0
12/16/2025,15,17,2,15:17:02,442,Tahap-0
12/16/2025,15,17,2,15:17:02,431,Tahap-0
12/16/2025,15,17,2,15:17:02,280,Tahap-0
12/16/2025,15,17,2,15:17:02,191,Tahap-0
12/16/2025,15,17,2,15:17:02,227,Tahap-0
12/16/2025,15,17,2,15:17:02,258,Tahap-0
12/16/2025,15,17,2,15:17:02,255,Tahap-0
12/16/2025,15,17,2,15:17:02,250,Tahap-0
12/16/2025,15,17,3,15:17:03,247,Tahap-0
12/16/2025,15,17,3,15:17:03,196,Tahap-0
12/16/2025,15,17,3,15:17:03,220,Tahap-0
12/16/2025,15,17,3,15:17:03,272,Tahap-0
12/16/2025,15,17,3,15:17:03,311,Tahap-0
12/16/2025,15,17,3,15:17:03,251,Tahap-0
12/16/2025,15,17,3,15:17:03,55,Tahap-0
12/16/2025,15,17,3,15:17:03,296,Tahap-0
12/16/2025,15,17,3,15:17:03,375,Tahap-0
12/16/2025,15,17,3,15:17:03,350,Tahap-0
12/16/2025,15,17,4,15:17:04,206,Tahap-0
12/16/2025,15,17,4,15:17:04,268,Tahap-0
12/16/2025,15,17,4,15:17:04,169,Tahap-0
12/16/2025,15,17,4,15:17:04,193,Tahap-0
12/16/2025,15,17,4,15:17:04,320,Tahap-0
12/16/2025,15,17,4,15:17:04,298,Tahap-0
12/16/2025,15,17,4,15:17:04,267,Tahap-0
12/16/2025,15,17,4,15:17:04,-155,Tahap-0
12/16/2025,15,17,4,15:17:04,-207,Tahap-0
12/16/2025,15,17,4,15:17:04,-184,Tahap-0
12/16/2025,15,17,5,15:17:05,-171,Tahap-0
12/16/2025,15,17,5,15:17:05,-187,Tahap-0
12/16/2025,15,17,5,15:17:05,-173,Tahap-0
12/16/2025,15,17,5,15:17:05,-172,Tahap-0
12/16/2025,15,17,5,15:17:05,-191,Tahap-0
12/16/2025,15,17,5,15:17:05,-175,Tahap-0
12/16/2025,15,17,5,15:17:05,-206,Tahap-0
12/16/2025,15,17,5,15:17:05,-164,Tahap-0
12/16/2025,15,17,5,15:17:05,-202,Tahap-0
12/16/2025,15,17,5,15:17:05,-173,Tahap-0
12/16/2025,15,17,6,15:17:06,-170,Tahap-0
12/16/2025,15,17,6,15:17:06,-194,Tahap-0
12/16/2025,15,17,6,15:17:06,-159,Tahap-0
12/16/2025,15,17,6,15:17:06,-175,Tahap-0
12/16/2025,15,17,6,15:17:06,-188,Tahap-0
12/16/2025,15,17,6,15:17:06,-156,Tahap-0
12/16/2025,15,17,6,15:17:06,-195,Tahap-0
12/16/2025,15,17,6,15:17:06,-170,Tahap-0
12/16/2025,15,17,6,15:17:06,-191,Tahap-0
12/16/2025,15,17,6,15:17:06,-187,Tahap-0
12/16/2025,15,17,7,15:17:07,-176,Tahap-0
12/16/2025,15,17,7,15:17:07,-199,Tahap-0
12/16/2025,15,17,7,15:17:07,-176,Tahap-0
12/16/2025,15,17,7,15:17:07,-176,Tahap-0
12/16/2025,15,17,7,15:17:07,-188,Tahap-0
12/16/2025,15,17,7,15:17:07,-150,Tahap-0
12/16/2025,15,17,7,15:17:07,-180,Tahap-0
12/16/2025,15,17,7,15:17:07,-162,Tahap-0
12/16/2025,15,17,7,15:17:07,-177,Tahap-0
12/16/2025,15,17,7,15:17:07,-177,Tahap-0
12/16/2025,15,17,8,15:17:08,-160,Tahap-0
12/16/2025,15,17,8,15:17:08,-180,Tahap-0
12/16/2025,15,17,8,15:17:08,-166,Tahap-0
12/16/2025,15,17,8,15:17:08,-178,Tahap-0
12/16/2025,15,17,8,15:17:08,-193,Tahap-0
12/16/2025,15,17,8,15:17:08,-154,Tahap-0
12/16/2025,15,17,8,15:17:08,-180,Tahap-0
12/16/2025,15,17,8,15:17:08,-141,Tahap-0
12/16/2025,15,17,8,15:17:08,-157,Tahap-0
12/16/2025,15,17,8,15:17:08,-152,Tahap-0
12/16/2025,15,17,9,15:17:09,-159,Tahap-0
12/16/2025,15,17,9,15:17:09,-166,Tahap-0
12/16/2025,15,17,9,15:17:09,-140,Tahap-0
12/16/2025,15,17,9,15:17:09,-142,Tahap-0
12/16/2025,15,17,9,15:17:09,-158,Tahap-0
12/16/2025,15,17,9,15:17:09,-134,Tahap-0
12/16/2025,15,17,9,15:17:09,-180,Tahap-0
12/16/2025,15,17,9,15:17:09,-142,Tahap-0
12/16/2025,15,17,9,15:17:09,-130,Tahap-0
12/16/2025,15,17,9,15:17:09,-133,Tahap-0
12/16/2025,15,17,10,15:17:10,-108,Tahap-0
12/16/2025,15,17,10,15:17:10,-125,Tahap-0
12/16/2025,15,17,10,15:17:10,-120,Tahap-0
12/16/2025,15,17,10,15:17:10,-131,Tahap-0
12/16/2025,15,17,10,15:17:10,-129,Tahap-0
12/16/2025,15,17,10,15:17:10,-96,Tahap-0
12/16/2025,15,17,10,15:17:10,-117,Tahap-0
12/16/2025,15,17,10,15:17:10,-96,Tahap-0
12/16/2025,15,17,10,15:17:10,-115,Tahap-0
12/16/2025,15,17,10,15:17:10,-130,Tahap-0
12/16/2025,15,17,11,15:17:11,-77,Tahap-0
12/16/2025,15,17,11,15:17:11,-95,Tahap-0
12/16/2025,15,17,11,15:17:11,-72,Tahap-0
12/16/2025,15,17,11,15:17:11,-57,Tahap-0
12/16/2025,15,17,11,15:17:11,-87,Tahap-0
12/16/2025,15,17,11,15:17:11,-67,Tahap-0
