Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
01/27/2025,10,12,54,10:12:54,417,Tahap-4
01/27/2025,10,12,54,10:12:54,347,Tahap-4
01/27/2025,10,12,54,10:12:54,234,Tahap-4
01/27/2025,10,12,54,10:12:54,177,Tahap-4
01/27/2025,10,12,54,10:12:54,146,Tahap-4
01/27/2025,10,12,54,10:12:54,183,Tahap-4
01/27/2025,10,12,54,10:12:54,122,Tahap-4
01/27/2025,10,12,54,10:12:54,140,Tahap-4
01/27/2025,10,12,54,10:12:54,156,Tahap-4
01/27/2025,10,12,54,10:12:54,95,Tahap-4
01/27/2025,10,12,54,10:12:54,111,Tahap-4
01/27/2025,10,12,54,10:12:54,107,Tahap-4
01/27/2025,10,12,54,10:12:54,72,Tahap-4
01/27/2025,10,12,54,10:12:54,121,Tahap-4
01/27/2025,10,12,54,10:12:54,91,Tahap-4
01/27/2025,10,12,54,10:12:54,77,Tahap-4
01/27/2025,10,12,54,10:12:54,59,Tahap-4
01/27/2025,10,12,54,10:12:54,67,Tahap-4
01/27/2025,10,12,54,10:12:54,62,Tahap-4
01/27/2025,10,12,54,10:12:54,53,Tahap-4
01/27/2025,10,12,54,10:12:54,49,Tahap-4
01/27/2025,10,12,54,10:12:54,83,Tahap-4
01/27/2025,10,12,54,10:12:54,46,Tahap-4
01/27/2025,10,12,55,10:12:55,60,Tahap-4
01/27/2025,10,12,55,10:12:55,48,Tahap-4
01/27/2025,10,12,55,10:12:55,55,Tahap-4
01/27/2025,10,12,55,10:12:55,46,Tahap-4
01/27/2025,10,12,55,10:12:55,35,Tahap-4
01/27/2025,10,12,55,10:12:55,66,Tahap-4
01/27/2025,10,12,55,10:12:55,50,Tahap-4
01/27/2025,10,12,55,10:12:55,54,Tahap-4
01/27/2025,10,12,55,10:12:55,40,Tahap-4
01/27/2025,10,12,55,10:12:55,51,Tahap-4
01/27/2025,10,12,56,10:12:56,45,Tahap-4
01/27/2025,10,12,56,10:12:56,29,Tahap-4
01/27/2025,10,12,56,10:12:56,35,Tahap-4
01/27/2025,10,12,56,10:12:56,30,Tahap-4
01/27/2025,10,12,56,10:12:56,44,Tahap-4
01/27/2025,10,12,56,10:12:56,21,Tahap-4
01/27/2025,10,12,56,10:12:56,57,Tahap-4
01/27/2025,10,12,56,10:12:56,42,Tahap-4
01/27/2025,10,12,56,10:12:56,38,Tahap-4
01/27/2025,10,12,56,10:12:56,30,Tahap-4
01/27/2025,10,12,57,10:12:57,62,Tahap-4
01/27/2025,10,12,57,10:12:57,17,Tahap-4
01/27/2025,10,12,57,10:12:57,27,Tahap-4
01/27/2025,10,12,57,10:12:57,47,Tahap-4
01/27/2025,10,12,57,10:12:57,43,Tahap-4
01/27/2025,10,12,57,10:12:57,16,Tahap-4
01/27/2025,10,12,57,10:12:57,15,Tahap-4
01/27/2025,10,12,57,10:12:57,17,Tahap-4
01/27/2025,10,12,57,10:12:57,51,Tahap-4
01/27/2025,10,12,57,10:12:57,32,Tahap-4
01/27/2025,10,12,58,10:12:58,29,Tahap-4
01/27/2025,10,12,58,10:12:58,49,Tahap-4
01/27/2025,10,12,58,10:12:58,39,Tahap-4
01/27/2025,10,12,58,10:12:58,26,Tahap-4
01/27/2025,10,12,58,10:12:58,38,Tahap-4
01/27/2025,10,12,58,10:12:58,13,Tahap-4
01/27/2025,10,12,58,10:12:58,50,Tahap-4
01/27/2025,10,12,58,10:12:58,9,Tahap-4
01/27/2025,10,12,58,10:12:58,32,Tahap-4
01/27/2025,10,12,58,10:12:58,31,Tahap-4
01/27/2025,10,12,59,10:12:59,27,Tahap-4
01/27/2025,10,12,59,10:12:59,29,Tahap-4
01/27/2025,10,12,59,10:12:59,15,Tahap-4
01/27/2025,10,12,59,10:12:59,24,Tahap-4
01/27/2025,10,12,59,10:12:59,49,Tahap-4
01/27/2025,10,12,59,10:12:59,32,Tahap-4
01/27/2025,10,12,59,10:12:59,29,Tahap-4
01/27/2025,10,12,59,10:12:59,41,Tahap-4
01/27/2025,10,12,59,10:12:59,10,Tahap-4
