Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
01/24/2025,14,21,40,14:21:40,1353,Tahap-3
01/24/2025,14,21,40,14:21:40,659,Tahap-3
01/24/2025,14,21,40,14:21:40,394,Tahap-3
01/24/2025,14,21,40,14:21:40,354,Tahap-3
01/24/2025,14,21,40,14:21:40,285,Tahap-3
01/24/2025,14,21,40,14:21:40,210,Tahap-3
01/24/2025,14,21,40,14:21:40,171,Tahap-3
01/24/2025,14,21,40,14:21:40,195,Tahap-3
01/24/2025,14,21,40,14:21:40,151,Tahap-3
01/24/2025,14,21,40,14:21:40,91,Tahap-3
01/24/2025,14,21,40,14:21:40,111,Tahap-3
01/24/2025,14,21,40,14:21:40,111,Tahap-3
01/24/2025,14,21,40,14:21:40,115,Tahap-3
01/24/2025,14,21,40,14:21:40,102,Tahap-3
01/24/2025,14,21,40,14:21:40,82,Tahap-3
01/24/2025,14,21,40,14:21:40,56,Tahap-3
01/24/2025,14,21,40,14:21:40,57,Tahap-3
01/24/2025,14,21,40,14:21:40,42,Tahap-3
01/24/2025,14,21,40,14:21:40,70,Tahap-3
01/24/2025,14,21,40,14:21:40,59,Tahap-3
01/24/2025,14,21,40,14:21:40,59,Tahap-3
01/24/2025,14,21,40,14:21:40,68,Tahap-3
01/24/2025,14,21,40,14:21:40,39,Tahap-3
01/24/2025,14,21,40,14:21:40,53,Tahap-3
01/24/2025,14,21,40,14:21:40,58,Tahap-3
01/24/2025,14,21,40,14:21:40,44,Tahap-3
01/24/2025,14,21,40,14:21:40,31,Tahap-3
01/24/2025,14,21,40,14:21:40,76,Tahap-3
01/24/2025,14,21,40,14:21:40,22,Tahap-3
01/24/2025,14,21,41,14:21:41,56,Tahap-3
01/24/2025,14,21,41,14:21:41,47,Tahap-3
01/24/2025,14,21,41,14:21:41,36,Tahap-3
01/24/2025,14,21,41,14:21:41,68,Tahap-3
01/24/2025,14,21,41,14:21:41,32,Tahap-3
01/24/2025,14,21,41,14:21:41,37,Tahap-3
01/24/2025,14,21,41,14:21:41,27,Tahap-3
01/24/2025,14,21,41,14:21:41,53,Tahap-3
01/24/2025,14,21,41,14:21:41,47,Tahap-3
01/24/2025,14,21,41,14:21:41,15,Tahap-3
01/24/2025,14,21,42,14:21:42,21,Tahap-3
01/24/2025,14,21,42,14:21:42,33,Tahap-3
01/24/2025,14,21,42,14:21:42,29,Tahap-3
01/24/2025,14,21,42,14:21:42,17,Tahap-3
01/24/2025,14,21,42,14:21:42,34,Tahap-3
01/24/2025,14,21,42,14:21:42,39,Tahap-3
01/24/2025,14,21,42,14:21:42,56,Tahap-3
01/24/2025,14,21,42,14:21:42,33,Tahap-3
01/24/2025,14,21,42,14:21:42,25,Tahap-3
01/24/2025,14,21,42,14:21:42,12,Tahap-3
01/24/2025,14,21,43,14:21:43,31,Tahap-3
01/24/2025,14,21,43,14:21:43,29,Tahap-3
01/24/2025,14,21,43,14:21:43,36,Tahap-3
01/24/2025,14,21,43,14:21:43,22,Tahap-3
01/24/2025,14,21,43,14:21:43,30,Tahap-3
01/24/2025,14,21,43,14:21:43,24,Tahap-3
01/24/2025,14,21,43,14:21:43,26,Tahap-3
01/24/2025,14,21,43,14:21:43,25,Tahap-3
01/24/2025,14,21,43,14:21:43,20,Tahap-3
01/24/2025,14,21,43,14:21:43,24,Tahap-3
01/24/2025,14,21,44,14:21:44,49,Tahap-3
01/24/2025,14,21,44,14:21:44,53,Tahap-3
01/24/2025,14,21,44,14:21:44,14,Tahap-3
01/24/2025,14,21,44,14:21:44,16,Tahap-3
01/24/2025,14,21,44,14:21:44,51,Tahap-3
01/24/2025,14,21,44,14:21:44,30,Tahap-3
01/24/2025,14,21,44,14:21:44,23,Tahap-3
01/24/2025,14,21,44,14:21:44,55,Tahap-3
01/24/2025,14,21,44,14:21:44,34,Tahap-3
01/24/2025,14,21,44,14:21:44,34,Tahap-3
01/24/2025,14,21,44,14:21:44,12,Tahap-3
01/24/2025,14,21,45,14:21:45,39,Tahap-3
