Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
11/18/2025,9,32,10,09:32:10,82,Tahap-0
11/18/2025,9,32,10,09:32:10,-18,Tahap-0
11/18/2025,9,32,10,09:32:10,62,Tahap-0
11/18/2025,9,32,10,09:32:10,-30,Tahap-0
11/18/2025,9,32,10,09:32:10,-2,Tahap-0
11/18/2025,9,32,10,09:32:10,-2,Tahap-0
11/18/2025,9,32,10,09:32:10,20,Tahap-0
11/18/2025,9,32,10,09:32:10,-58,Tahap-0
11/18/2025,9,32,10,09:32:10,50,Tahap-0
11/18/2025,9,32,10,09:32:10,-94,Tahap-0
11/18/2025,9,32,10,09:32:10,84,Tahap-0
11/18/2025,9,32,10,09:32:10,-100,Tahap-0
11/18/2025,9,32,10,09:32:10,28,Tahap-0
11/18/2025,9,32,10,09:32:10,-76,Tahap-0
11/18/2025,9,32,10,09:32:10,34,Tahap-0
11/18/2025,9,32,10,09:32:10,-50,Tahap-0
11/18/2025,9,32,10,09:32:10,116,Tahap-0
11/18/2025,9,32,10,09:32:10,-124,Tahap-0
11/18/2025,9,32,10,09:32:10,66,Tahap-0
11/18/2025,9,32,10,09:32:10,-130,Tahap-0
11/18/2025,9,32,10,09:32:10,88,Tahap-0
11/18/2025,9,32,10,09:32:10,-80,Tahap-0
11/18/2025,9,32,10,09:32:10,54,Tahap-0
11/18/2025,9,32,10,09:32:10,-46,Tahap-0
11/18/2025,9,32,10,09:32:10,-30,Tahap-0
11/18/2025,9,32,10,09:32:10,-62,Tahap-0
11/18/2025,9,32,10,09:32:10,100,Tahap-0
11/18/2025,9,32,10,09:32:10,-110,Tahap-0
11/18/2025,9,32,10,09:32:10,50,Tahap-0
11/18/2025,9,32,11,09:32:11,-130,Tahap-0
11/18/2025,9,32,11,09:32:11,24,Tahap-0
11/18/2025,9,32,11,09:32:11,-82,Tahap-0
11/18/2025,9,32,11,09:32:11,32,Tahap-0
11/18/2025,9,32,11,09:32:11,-78,Tahap-0
11/18/2025,9,32,11,09:32:11,-60,Tahap-0
11/18/2025,9,32,11,09:32:11,-92,Tahap-0
11/18/2025,9,32,11,09:32:11,20,Tahap-0
11/18/2025,9,32,11,09:32:11,-118,Tahap-0
11/18/2025,9,32,11,09:32:11,-16,Tahap-0
11/18/2025,9,32,12,09:32:12,-94,Tahap-0
11/18/2025,9,32,12,09:32:12,-78,Tahap-0
11/18/2025,9,32,12,09:32:12,-34,Tahap-0
11/18/2025,9,32,12,09:32:12,-98,Tahap-0
11/18/2025,9,32,12,09:32:12,-64,Tahap-0
11/18/2025,9,32,12,09:32:12,-122,Tahap-0
11/18/2025,9,32,12,09:32:12,-118,Tahap-0
11/18/2025,9,32,12,09:32:12,-52,Tahap-0
11/18/2025,9,32,12,09:32:12,-86,Tahap-0
11/18/2025,9,32,12,09:32:12,-140,Tahap-0
11/18/2025,9,32,13,09:32:13,-76,Tahap-0
11/18/2025,9,32,13,09:32:13,-182,Tahap-0
11/18/2025,9,32,13,09:32:13,-2,Tahap-0
11/18/2025,9,32,13,09:32:13,-212,Tahap-0
11/18/2025,9,32,13,09:32:13,-22,Tahap-0
11/18/2025,9,32,13,09:32:13,-214,Tahap-0
11/18/2025,9,32,13,09:32:13,-114,Tahap-0
11/18/2025,9,32,13,09:32:13,-162,Tahap-0
11/18/2025,9,32,13,09:32:13,-14,Tahap-0
11/18/2025,9,32,13,09:32:13,-236,Tahap-0
11/18/2025,9,32,14,09:32:14,-66,Tahap-0
11/18/2025,9,32,14,09:32:14,-258,Tahap-0
11/18/2025,9,32,14,09:32:14,-58,Tahap-0
11/18/2025,9,32,14,09:32:14,-208,Tahap-0
11/18/2025,9,32,14,09:32:14,-76,Tahap-0
11/18/2025,9,32,14,09:32:14,-226,Tahap-0
11/18/2025,9,32,14,09:32:14,-126,Tahap-0
11/18/2025,9,32,14,09:32:14,-206,Tahap-0
11/18/2025,9,32,14,09:32:14,-96,Tahap-0
11/18/2025,9,32,14,09:32:14,-244,Tahap-0
11/18/2025,9,32,15,09:32:15,-74,Tahap-0
11/18/2025,9,32,15,09:32:15,-242,Tahap-0
11/18/2025,9,32,15,09:32:15,-78,Tahap-0
11/18/2025,9,32,15,09:32:15,-214,Tahap-0
11/18/2025,9,32,15,09:32:15,-110,Tahap-0
11/18/2025,9,32,15,09:32:15,-188,Tahap-0
11/18/2025,9,32,15,09:32:15,-122,Tahap-0
11/18/2025,9,32,15,09:32:15,-246,Tahap-0
11/18/2025,9,32,15,09:32:15,-34,Tahap-0
11/18/2025,9,32,15,09:32:15,-238,Tahap-0
11/18/2025,9,32,16,09:32:16,-98,Tahap-0
11/18/2025,9,32,16,09:32:16,-218,Tahap-0
11/18/2025,9,32,16,09:32:16,-104,Tahap-0
11/18/2025,9,32,16,09:32:16,-166,Tahap-0
11/18/2025,9,32,16,09:32:16,-136,Tahap-0
11/18/2025,9,32,16,09:32:16,-122,Tahap-0
11/18/2025,9,32,16,09:32:16,-186,Tahap-0
11/18/2025,9,32,16,09:32:16,-180,Tahap-0
11/18/2025,9,32,16,09:32:16,-72,Tahap-0
11/18/2025,9,32,16,09:32:16,-150,Tahap-0
11/18/2025,9,32,17,09:32:17,-174,Tahap-0
11/18/2025,9,32,17,09:32:17,-134,Tahap-0
11/18/2025,9,32,17,09:32:17,-224,Tahap-0
11/18/2025,9,32,17,09:32:17,-96,Tahap-0
11/18/2025,9,32,17,09:32:17,-186,Tahap-0
11/18/2025,9,32,17,09:32:17,-70,Tahap-0
11/18/2025,9,32,17,09:32:17,-232,Tahap-0
11/18/2025,9,32,17,09:32:17,-144,Tahap-0
11/18/2025,9,32,17,09:32:17,-146,Tahap-0
11/18/2025,9,32,17,09:32:17,-92,Tahap-0
11/18/2025,9,32,18,09:32:18,-226,Tahap-0
11/18/2025,9,32,18,09:32:18,-44,Tahap-0
11/18/2025,9,32,18,09:32:18,-238,Tahap-0
11/18/2025,9,32,18,09:32:18,-34,Tahap-0
11/18/2025,9,32,18,09:32:18,-208,Tahap-0
11/18/2025,9,32,18,09:32:18,-52,Tahap-0
11/18/2025,9,32,18,09:32:18,-168,Tahap-0
11/18/2025,9,32,18,09:32:18,-38,Tahap-0
11/18/2025,9,32,18,09:32:18,-182,Tahap-0
11/18/2025,9,32,18,09:32:18,30,Tahap-0
11/18/2025,9,32,19,09:32:19,-196,Tahap-0
11/18/2025,9,32,19,09:32:19,-14,Tahap-0
