Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
11/17/2025,9,30,20,09:30:20,-204,Tahap-0
11/17/2025,9,30,20,09:30:20,172,Tahap-0
11/17/2025,9,30,20,09:30:20,-144,Tahap-0
11/17/2025,9,30,20,09:30:20,108,Tahap-0
11/17/2025,9,30,20,09:30:20,-144,Tahap-0
11/17/2025,9,30,20,09:30:20,-56,Tahap-0
11/17/2025,9,30,20,09:30:20,-96,Tahap-0
11/17/2025,9,30,20,09:30:20,148,Tahap-0
11/17/2025,9,30,20,09:30:20,-156,Tahap-0
11/17/2025,9,30,20,09:30:20,60,Tahap-0
11/17/2025,9,30,20,09:30:20,-108,Tahap-0
11/17/2025,9,30,20,09:30:20,-84,Tahap-0
11/17/2025,9,30,20,09:30:20,40,Tahap-0
11/17/2025,9,30,20,09:30:20,-32,Tahap-0
11/17/2025,9,30,20,09:30:20,108,Tahap-0
11/17/2025,9,30,20,09:30:20,-112,Tahap-0
11/17/2025,9,30,20,09:30:20,-28,Tahap-0
11/17/2025,9,30,20,09:30:20,-20,Tahap-0
11/17/2025,9,30,20,09:30:20,-16,Tahap-0
11/17/2025,9,30,20,09:30:20,-100,Tahap-0
11/17/2025,9,30,20,09:30:20,128,Tahap-0
11/17/2025,9,30,21,09:30:21,-116,Tahap-0
11/17/2025,9,30,21,09:30:21,24,Tahap-0
11/17/2025,9,30,21,09:30:21,-132,Tahap-0
11/17/2025,9,30,21,09:30:21,68,Tahap-0
11/17/2025,9,30,21,09:30:21,-92,Tahap-0
11/17/2025,9,30,21,09:30:21,24,Tahap-0
11/17/2025,9,30,21,09:30:21,28,Tahap-0
11/17/2025,9,30,21,09:30:21,84,Tahap-0
11/17/2025,9,30,21,09:30:21,-208,Tahap-0
11/17/2025,9,30,21,09:30:21,48,Tahap-0
11/17/2025,9,30,22,09:30:22,-148,Tahap-0
11/17/2025,9,30,46,09:30:46,9765,Tahap-0
11/17/2025,9,30,46,09:30:46,2816,Tahap-0
11/17/2025,9,30,46,09:30:46,1500,Tahap-0
11/17/2025,9,30,46,09:30:46,580,Tahap-0
11/17/2025,9,30,46,09:30:46,236,Tahap-0
11/17/2025,9,30,46,09:30:46,309,Tahap-0
11/17/2025,9,30,47,09:30:47,357,Tahap-0
11/17/2025,9,30,47,09:30:47,391,Tahap-0
11/17/2025,9,30,47,09:30:47,407,Tahap-0
11/17/2025,9,30,47,09:30:47,431,Tahap-0
11/17/2025,9,30,47,09:30:47,576,Tahap-0
11/17/2025,9,30,47,09:30:47,297,Tahap-0
11/17/2025,9,30,47,09:30:47,312,Tahap-0
11/17/2025,9,30,47,09:30:47,259,Tahap-0
11/17/2025,9,30,47,09:30:47,154,Tahap-0
11/17/2025,9,30,47,09:30:47,211,Tahap-0
11/17/2025,9,30,48,09:30:48,326,Tahap-0
11/17/2025,9,30,48,09:30:48,160,Tahap-0
11/17/2025,9,30,48,09:30:48,121,Tahap-0
11/17/2025,9,30,48,09:30:48,206,Tahap-0
11/17/2025,9,30,48,09:30:48,194,Tahap-0
11/17/2025,9,30,48,09:30:48,65,Tahap-0
11/17/2025,9,30,48,09:30:48,349,Tahap-0
11/17/2025,9,30,48,09:30:48,160,Tahap-0
11/17/2025,9,30,49,09:30:49,69,Tahap-0
11/17/2025,9,30,49,09:30:49,158,Tahap-0
11/17/2025,9,30,49,09:30:49,145,Tahap-0
11/17/2025,9,30,49,09:30:49,189,Tahap-0
11/17/2025,9,30,49,09:30:49,82,Tahap-0
11/17/2025,9,30,49,09:30:49,66,Tahap-0
11/17/2025,9,30,49,09:30:49,268,Tahap-0
11/17/2025,9,30,49,09:30:49,199,Tahap-0
11/17/2025,9,30,49,09:30:49,138,Tahap-0
11/17/2025,9,30,49,09:30:49,58,Tahap-0
11/17/2025,9,30,49,09:30:49,91,Tahap-0
11/17/2025,9,30,49,09:30:49,215,Tahap-0
11/17/2025,9,30,50,09:30:50,88,Tahap-0
11/17/2025,9,30,50,09:30:50,72,Tahap-0
11/17/2025,9,30,50,09:30:50,245,Tahap-0
11/17/2025,9,30,50,09:30:50,270,Tahap-0
11/17/2025,9,30,50,09:30:50,876,Tahap-0
11/17/2025,9,30,50,09:30:50,346,Tahap-0
11/17/2025,9,30,50,09:30:50,93,Tahap-0
11/17/2025,9,30,50,09:30:50,171,Tahap-0
11/17/2025,9,30,50,09:30:50,132,Tahap-0
11/17/2025,9,30,50,09:30:50,155,Tahap-0
11/17/2025,9,30,51,09:30:51,95,Tahap-0
11/17/2025,9,30,51,09:30:51,72,Tahap-0
11/17/2025,9,30,51,09:30:51,81,Tahap-0
11/17/2025,9,30,51,09:30:51,708,Tahap-0
11/17/2025,9,30,51,09:30:51,141,Tahap-0
11/17/2025,9,30,51,09:30:51,73,Tahap-0
11/17/2025,9,30,51,09:30:51,42,Tahap-0
11/17/2025,9,30,51,09:30:51,131,Tahap-0
11/17/2025,9,30,51,09:30:51,159,Tahap-0
11/17/2025,9,30,51,09:30:51,279,Tahap-0
11/17/2025,9,30,52,09:30:52,60,Tahap-0
11/17/2025,9,30,52,09:30:52,12,Tahap-0
11/17/2025,9,30,52,09:30:52,43,Tahap-0
11/17/2025,9,30,52,09:30:52,166,Tahap-0
11/17/2025,9,30,52,09:30:52,97,Tahap-0
11/17/2025,9,30,52,09:30:52,133,Tahap-0
11/17/2025,9,30,52,09:30:52,30,Tahap-0
11/17/2025,9,30,52,09:30:52,65,Tahap-0
11/17/2025,9,30,52,09:30:52,163,Tahap-0
11/17/2025,9,30,52,09:30:52,58,Tahap-0
11/17/2025,9,30,53,09:30:53,155,Tahap-0
11/17/2025,9,30,53,09:30:53,98,Tahap-0
11/17/2025,9,30,53,09:30:53,30,Tahap-0
11/17/2025,9,30,53,09:30:53,117,Tahap-0
11/17/2025,9,30,53,09:30:53,159,Tahap-0
11/17/2025,9,30,53,09:30:53,123,Tahap-0
11/17/2025,9,30,53,09:30:53,25,Tahap-0
11/17/2025,9,30,53,09:30:53,116,Tahap-0
11/17/2025,9,30,53,09:30:53,975,Tahap-0
11/17/2025,9,30,53,09:30:53,258,Tahap-0
11/17/2025,9,30,54,09:30:54,67,Tahap-0
11/17/2025,9,30,54,09:30:54,85,Tahap-0
11/17/2025,9,30,54,09:30:54,251,Tahap-0
11/17/2025,9,30,54,09:30:54,229,Tahap-0
11/17/2025,9,30,54,09:30:54,39,Tahap-0
11/17/2025,9,30,54,09:30:54,247,Tahap-0
11/17/2025,9,30,54,09:30:54,220,Tahap-0
11/17/2025,9,30,54,09:30:54,200,Tahap-0
11/17/2025,9,30,54,09:30:54,99,Tahap-0
11/17/2025,9,30,54,09:30:54,181,Tahap-0
11/17/2025,9,30,55,09:30:55,211,Tahap-0
11/17/2025,9,30,55,09:30:55,144,Tahap-0
11/17/2025,9,30,55,09:30:55,58,Tahap-0
11/17/2025,9,30,55,09:30:55,15,Tahap-0
11/17/2025,9,30,55,09:30:55,238,Tahap-0
11/17/2025,9,30,55,09:30:55,59,Tahap-0
11/17/2025,9,30,55,09:30:55,160,Tahap-0
11/17/2025,9,30,55,09:30:55,70,Tahap-0
11/17/2025,9,30,55,09:30:55,45,Tahap-0
11/17/2025,9,30,55,09:30:55,83,Tahap-0
11/17/2025,9,30,56,09:30:56,205,Tahap-0
11/17/2025,9,30,56,09:30:56,148,Tahap-0
11/17/2025,9,30,56,09:30:56,116,Tahap-0
11/17/2025,9,30,56,09:30:56,1533,Tahap-0
11/17/2025,9,30,56,09:30:56,239,Tahap-0
11/17/2025,9,30,56,09:30:56,297,Tahap-0
11/17/2025,9,30,56,09:30:56,127,Tahap-0
11/17/2025,9,30,56,09:30:56,66,Tahap-0
11/17/2025,9,30,56,09:30:56,207,Tahap-0
11/17/2025,9,30,56,09:30:56,149,Tahap-0
11/17/2025,9,30,57,09:30:57,269,Tahap-0
