Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
01/14/2025,10,21,15,10:21:15,1065,Tahap-2
01/14/2025,10,21,15,10:21:15,1224,Tahap-2
01/14/2025,10,21,15,10:21:15,975,Tahap-2
01/14/2025,10,21,15,10:21:15,322,Tahap-2
01/14/2025,10,21,15,10:21:15,661,Tahap-2
01/14/2025,10,21,15,10:21:15,433,Tahap-2
01/14/2025,10,21,15,10:21:15,443,Tahap-2
01/14/2025,10,21,15,10:21:15,354,Tahap-2
01/14/2025,10,21,15,10:21:15,230,Tahap-2
01/14/2025,10,21,16,10:21:16,218,Tahap-2
01/14/2025,10,21,16,10:21:16,143,Tahap-2
01/14/2025,10,21,16,10:21:16,88,Tahap-2
01/14/2025,10,21,16,10:21:16,239,Tahap-2
01/14/2025,10,21,16,10:21:16,231,Tahap-2
01/14/2025,10,21,16,10:21:16,134,Tahap-2
01/14/2025,10,21,16,10:21:16,116,Tahap-2
01/14/2025,10,21,16,10:21:16,233,Tahap-2
01/14/2025,10,21,16,10:21:16,202,Tahap-2
01/14/2025,10,21,16,10:21:16,10,Tahap-2
01/14/2025,10,21,17,10:21:17,71,Tahap-2
01/14/2025,10,21,17,10:21:17,102,Tahap-2
01/14/2025,10,21,17,10:21:17,161,Tahap-2
01/14/2025,10,21,17,10:21:17,162,Tahap-2
01/14/2025,10,21,17,10:21:17,345,Tahap-2
01/14/2025,10,21,17,10:21:17,221,Tahap-2
01/14/2025,10,21,17,10:21:17,5,Tahap-2
01/14/2025,10,21,17,10:21:17,256,Tahap-2
01/14/2025,10,21,17,10:21:17,106,Tahap-2
01/14/2025,10,21,17,10:21:17,158,Tahap-2
01/14/2025,10,21,18,10:21:18,539,Tahap-2
01/14/2025,10,21,18,10:21:18,83,Tahap-2
01/14/2025,10,21,18,10:21:18,115,Tahap-2
01/14/2025,10,21,18,10:21:18,210,Tahap-2
01/14/2025,10,21,18,10:21:18,53,Tahap-2
01/14/2025,10,21,18,10:21:18,179,Tahap-2
01/14/2025,10,21,18,10:21:18,119,Tahap-2
01/14/2025,10,21,18,10:21:18,158,Tahap-2
01/14/2025,10,21,18,10:21:18,132,Tahap-2
